股票代碼,公司名稱,市場別,StockBoss 產業別,Goodinfo 產業別,FinMind 產業別,市值,EPS 分數,自由現金流 分數,現金股利 分數,股息支付率 分數,淨利率 分數,LT-Debt/Equity 分數,利息保障倍數 分數,ROE 分數,ROIC 分數,非獨立董監持股 分數,五年含息總報酬,總分,加權總分,排名池滿分,實際可評滿分,排名,排名模式,ROE／ROIC 標籤,高風險警示,資料完整狀態,最後更新時間,備註
3037,欣興,twse,,,電子零組件業,1560868307796.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,N/A,,5.0,5.0,16,15.0,30,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2408,南亞科,twse,,,電子工業,1442411284657.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,N/A,N/A,,3.0,3.0,16,14.0,35,一般產業排名,,,部分缺漏（可評 14/16）,2026-09-15T07:49:49+00:00,缺漏因子：ROIC、非獨立董監持股（其餘照常加總，不按比例放大）
2891,中信金,twse,,,金融保險,1371412516578.2,0.5,N/A,1.0,1.0,N/A,N/A,N/A,0.0,N/A,N/A,,2.5,2.5,9,8.0,6,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2382,廣達,twse,,,電腦及週邊設備業,1367839934856.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,N/A,,5.5,5.5,16,15.0,29,一般產業排名,高 ROE,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
3017,奇鋐,twse,,,電腦及週邊設備業,1222771466805.0,2.0,1,2.0,2.0,1.0,1.0,2.0,2.0,1.0,N/A,,14.0,14.0,16,15.0,1,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2059,川湖,twse,,,電子零組件業,1116405198480.0,0.5,1,1.0,2.0,2.0,1.0,2.0,2.0,1.0,N/A,,12.5,12.5,16,15.0,3,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2412,中華電,twse,,,電子工業,1113193579207.5,2.0,1,2.0,1.0,1.0,1.0,2.0,0.0,0.0,N/A,,10.0,10.0,16,15.0,11,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2327,國巨*,twse,,,電子工業,1105538379456.0,0.0,1,2.0,0.0,1.0,1.0,1.0,0.0,0.0,N/A,,6.0,6.0,16,15.0,23,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2887,台新新光金,twse,,,金融保險,1089993690669.7999,0.0,N/A,1.0,2.0,N/A,N/A,N/A,0.0,N/A,N/A,,3.0,3.0,9,8.0,3,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2345,智邦,twse,,,電子工業,1032456930480.0,2.0,1,1.0,2.0,0.0,1.0,2.0,2.0,1.0,N/A,,12.0,12.0,16,15.0,5,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2885,元大金,twse,,,金融保險,946938242975.2,0.0,N/A,1.0,1.0,N/A,N/A,N/A,0.0,N/A,N/A,,2.0,2.0,9,8.0,8,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2884,玉山金,twse,,,金融保險,809078253001.15,0.0,N/A,1.0,1.0,N/A,N/A,N/A,0.0,N/A,N/A,,2.0,2.0,9,8.0,8,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
3443,創意,twse,,,電子工業,808761882885.0,0.5,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,N/A,,10.5,10.5,16,15.0,9,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
3008,大立光,twse,,,電子工業,791983082835.0,0.0,1,1.0,2.0,2.0,1.0,2.0,0.0,0.0,N/A,,9.0,9.0,16,15.0,14,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
6505,台塑化,twse,,,油電燃氣業,789702055150.8,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,N/A,,6.0,6.0,16,15.0,23,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
3653,健策,twse,,,電子零組件業,781652592180.0,0.5,1,1.0,2.0,1.0,1.0,2.0,2.0,1.0,N/A,,11.5,11.5,16,15.0,6,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2886,兆豐金,twse,,,金融保險,768368995007.6,0.5,N/A,1.0,1.0,N/A,N/A,N/A,0.0,N/A,N/A,,2.5,2.5,9,8.0,6,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
5274,信驊,tpex,,,半導體業,728533336560.0,0.5,1,1.0,2.0,2.0,1.0,2.0,2.0,1.0,N/A,,12.5,12.5,16,15.0,3,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2344,華邦電,twse,,,電子工業,717750030783.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,N/A,N/A,,3.0,3.0,16,14.0,35,一般產業排名,,,部分缺漏（可評 14/16）,2026-09-15T07:49:49+00:00,缺漏因子：ROIC、非獨立董監持股（其餘照常加總，不按比例放大）
8046,南電,twse,,,電子零組件業,701089553395.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,N/A,,6.0,6.0,16,15.0,23,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2357,華碩,twse,,,電腦及週邊設備業,689281539840.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,N/A,,6.0,6.0,16,15.0,23,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2880,華南金,twse,,,金融保險,659232719259.1,1.0,N/A,1.0,1.0,N/A,N/A,N/A,0.0,N/A,N/A,,3.0,3.0,9,8.0,3,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2890,永豐金,twse,,,金融保險,658991116520.5499,1.0,N/A,1.0,2.0,N/A,N/A,N/A,0.0,N/A,N/A,,4.0,4.0,9,8.0,1,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
